,qid,question_text,target
0,ed735b863014e5cdf848,How do people get benefit from nile river?,0
1,eba62b502f22b0b065d7,"What are good hotels for short-term business travelers in Bougie, Bejaia, Algeria?",0
2,6530ece97404a593db81,How much does it cost to own a best western and how much do you make?,0
3,8e916e1152569bf3de1e,How should I plan my CAT preparation?,0
4,691a6cd2d35a16a58cc9,Can you choose a second major on your application to Rhode Island School of Design (RISD) incase you don't get accepted to your first choice?,0
5,62ffb740a20b5b29efff,What are the pros and cons of a robotic arm?,0
6,f1a4dc5b3883f4ef65f6,Is it true that the brits (pressed on by the Jews) and Russia were the ones instigated the second world war?,0
7,b38d8eaa84a942b512f5,Should I put tutorials on my profile website in order to find a web developer job?,0
8,f86a0afded2033c2055b,Why is the cutoff date to Grammy nominations so early compared to other award shows?,0
9,223c654341deadd1ca71,How should I start preparing for IIM in class 8?,0
10,e810ae130da450f3136f,My friend has got SC category rank of 39 in UCEED Examination. What colleges can he get?,0
11,8cae0dcd5ace21a39176,How do you play Factions on Minecraft Servers?,0
12,fce48321ed5a090982db,Does a son really possess the blood of a father?,0
13,31cce410845b58498488,Why is the metro in Yerevan so empty?,0
14,6e2b1bca0271b692ac94,How do you write lyrics?,0
15,5e6f7c0be8de0935bef9,Why do lots of people advertise millionaire match?,0
16,48f2872ef5e4576cf370,How do I know if my case was dismissed or simply turned into a new case number?,0
17,c5c06b18b21e69189ad6,So I just had sex with my biological sister and was wondering if it's ok to do this regularly once we move in together in about a week?,1
18,c534360ddf3ea480f03b,What are your favourite ways of reliving boredom?,0
19,d1c3d695330683247556,How can I explain autism to a child?,0
20,f2ffb01b00fdfdbc2b21,How low does your IQ have to be to support communism?,0
21,23f72c7c748c9602a74c,What inspired Julia Gluck to become a writer?,0
22,acc73e0cd5bc0cdf2881,What are the functions of Operation Smile?,0
23,8e732bea5fe9b103cd62,Can I get old IIT's for 547 marks GATE chemical 2017?,0
24,bd26402c116992e0e3e3,"In a tiny town with only 4 police officers, if a woman thought she saw an intruder in her house, but there is no evidence, what would the cops do beside search the premises?",0
25,1263ee4a1501fc61a7b7,"Why are Indian Americans more successful in climbing the social ladder in the US, unlike East Asians?",0
26,134c000153731573398e,What is YOUR impression of the alleged airliner crashes on 9/11/2001?,1
27,bf664d17602754e5bf79,"What happens (in terms of treatment, not what happens to your body) when someone overdoses on over the counter meds?",0
28,a82192d084dc0fc4b859,What is the chemical composition of an onyx stone?,0
29,9908dd492522cea0b0d3,Is it really a good idea to broadcast messages into space to find life on other planets?,0
30,6bae5b2fa14f4a614478,We are planning to move to Melbourne from Perth. Is it a good idea?,0
